first_name,second_name,web_name,id,team,total_points,dreamteam_count,element_type,in_dreamteam,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
Ilkay,Gündogan,Gündogan,222,11,65,0,3,FALSE,51,2.1,2012,2,1,7,28,0,0,1,7,0,0,4,382,408.4,592.3,374,137.5
Jesse,Lingard,Lingard,241,12,32,0,3,FALSE,63,1.5,923,1,0,1,14,0,0,0,3,0,0,0,99,109,278.2,297,68.2
Daniel,James,James,243,12,95,0,3,FALSE,57,2.9,2281,3,6,7,29,0,0,0,4,0,0,2,308,415.2,428.1,622,146
Andreas,Pereira,Pereira,246,12,60,0,3,FALSE,47,2.4,1478,1,3,6,16,0,0,0,3,0,0,1,198,245.6,432.1,343,102.3
Scott,McTominay,McTominay,248,12,74,0,3,FALSE,48,2.7,1765,3,2,3,20,0,0,0,2,0,0,6,310,415.6,238.4,310,96.4
Fabian,Schär,Schär,252,13,55,0,2,FALSE,50,2.5,1669,2,1,4,38,0,0,0,5,0,0,2,297,440.6,58.3,179,67.8
DeAndre,Yedlin,Yedlin,253,13,26,0,2,FALSE,44,1.6,934,1,0,1,18,0,0,0,3,0,0,0,122,165.6,118.1,43,32.9
Jonjo,Shelvey,Shelvey,269,13,105,0,3,FALSE,49,4,2118,6,2,8,34,0,0,0,3,0,0,15,437,559.4,597.4,344,150.4
Sean,Longstaff,Longstaff,270,13,44,0,3,FALSE,50,1.9,1370,1,2,2,26,0,0,0,2,1,0,0,181,235.8,217.1,155,60.8
Isaac,Hayden,Hayden,271,13,73,0,3,FALSE,44,2.5,2220,1,4,8,36,0,0,0,4,1,0,3,309,368.6,227.6,189,78.5
Joelinton Cássio,Apolinário de Lira,Joelinton,466,13,78,0,4,FALSE,55,2.1,2678,2,2,9,46,0,0,0,7,0,0,3,236,330.8,433.4,641,140.5
Dwight,Gayle,Gayle,554,13,58,0,4,FALSE,50,2.9,842,4,2,4,15,0,0,0,2,0,0,10,190,217,86.2,348,64.7
Valentino,Lazaro,Lazaro,614,13,19,0,3,FALSE,53,1.5,472,1,0,0,13,0,0,0,0,1,0,0,81,84.2,88.1,38,21
Dennis,Srbeny,Srbeny,279,14,13,0,4,FALSE,52,1.6,41,1,0,0,2,0,0,0,0,0,0,1,50,44.2,3.4,25,7
Mario,Vrancic,Vrancic,282,14,29,0,3,FALSE,62,1.4,624,1,0,0,19,0,0,0,3,0,0,1,116,123,107.9,123,35.4
Onel,Hernández,Hernández,284,14,52,0,3,FALSE,53,2,1374,1,2,1,32,0,0,0,0,0,0,0,173,227.2,235.5,445,90.5
Kenny,McLean,McLean,286,14,77,0,3,FALSE,48,2.1,2965,1,1,5,63,0,0,0,5,0,0,0,424,505.8,423.9,274,120.4
