player_id,first_name,second_name,web_name,team_id,total_points,position_id,now_cost,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
591,Salomón,Rondón,Rondón,8,30,4,60,1.5,779,1,1,2,16,0,0,0,2,1,0,2,73,94.2,108.9,339.0,53.8
602,Ellis,Simms,Simms,8,2,4,45,2.0,61,0,0,1,0,0,0,0,0,0,0,0,6,6.4,0.4,0.0,0.7
607,Lewis,Dobbin,Dobbin,8,2,4,45,0.7,30,0,0,0,1,0,0,0,1,0,0,0,6,2.4,0.9,4.0,0.8
613,Charlie,Whitaker,Whitaker,8,0,3,45,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
616,Harry,Tyrer,Tyrer,8,0,1,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
622,Cenk,Tosun,Tosun,8,1,4,50,1.0,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0
623,Reece,Welch,Welch,8,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
630,Tyler,Onyango,Onyango,8,3,3,45,1.0,27,0,0,0,0,0,0,0,0,0,0,0,8,1.2,0.0,18.0,1.9
674,Nathan,Patterson,Patterson,8,0,2,41,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
675,Vitalii,Mykolenko,Mykolenko,8,42,2,49,3.2,1054,1,1,3,17,0,0,0,0,0,0,3,177,187.4,138.8,66.0,39.4
718,Isaac,Price,Price,8,1,3,45,1.0,13,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.1,8.0,0.6
200,Kasper,Schmeichel,Schmeichel,9,131,1,50,3.5,3330,0,0,7,58,0,2,0,1,0,131,12,706,1076.6,11.2,0.0,109.1
201,Jonny,Evans,Evans,9,39,2,54,2.2,1346,1,1,2,23,0,0,0,3,0,0,0,257,355.6,57.6,75.0,48.8
202,Marc,Albrighton,Albrighton,9,40,3,52,2.4,1127,1,2,2,24,0,0,0,3,0,0,2,169,236.2,208.6,51.0,49.7
203,Nampalys,Mendy,Mendy,9,24,3,43,1.7,1032,0,0,2,15,0,0,0,3,0,0,0,147,88.2,44.2,7.0,14.0
204,Danny,Ward,Ward,9,3,1,40,3.0,90,0,0,0,1,0,0,0,0,0,4,0,17,32.4,0.0,0.0,3.2
205,Jamie,Vardy,Vardy,9,133,4,103,5.3,1801,15,3,4,27,1,0,0,2,0,0,24,480,599.8,229.5,775.0,159.6
206,Dennis,Praet,Praet,9,0,3,49,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
207,Ricardo Domingos,Barbosa Pereira,Pereira,9,35,2,52,2.5,990,1,3,1,20,0,0,0,3,0,0,3,202,274.8,139.6,122.0,53.7
208,Daniel,Amartey,Amartey,9,55,2,40,2.0,2118,0,0,5,40,0,0,0,4,0,0,4,422,460.4,69.4,20.0,54.9
209,Timothy,Castagne,Castagne,9,75,2,53,2.8,2124,1,0,6,30,0,0,0,1,0,0,6,365,435.4,241.0,103.0,78.1
210,Youri,Tielemans,Tielemans,9,120,3,64,3.8,2629,6,4,6,42,0,0,0,3,0,0,14,532,723.8,578.9,460.0,175.8
211,Ayoze,Pérez,Pérez,9,35,3,57,2.5,438,2,3,1,15,0,0,0,0,1,0,2,101,172.4,139.7,180.0,48.7
212,James,Maddison,Maddison,9,181,3,69,5.2,2454,12,11,5,41,0,0,0,3,0,0,24,637,827.4,706.2,770.0,230.2
213,Kelechi,Iheanacho,Iheanacho,9,80,4,70,3.1,1253,4,6,1,25,0,0,0,1,0,0,10,246,292.0,242.7,390.0,92.2
214,Hamza,Choudhury,Choudhury,9,8,3,44,1.3,284,0,0,1,4,0,0,0,1,0,0,0,41,43.0,2.8,6.0,5.3
215,Harvey,Barnes,Barnes,9,137,3,65,4.3,2095,6,12,8,30,0,0,0,2,0,0,10,377,546.2,425.3,1000.0,196.8
216,Wilfred,Ndidi,Ndidi,9,41,3,48,2.2,1617,0,1,5,26,0,0,0,4,0,0,0,240,322.0,66.0,179.0,57.0
217,Çaglar,Söyüncü,Söyüncü,9,66,2,49,2.4,2497,1,0,5,44,0,0,0,5,0,0,6,454,606.4,64.7,90.0,76.2
218,James,Justin,Justin,9,29,2,49,2.2,996,0,0,2,13,0,0,0,0,0,0,1,167,190.0,136.2,97.0,42.5
219,Luke,Thomas,Thomas,9,50,2,43,2.3,1911,0,1,5,35,0,0,0,2,0,0,1,349,406.2,198.5,59.0,66.6
220,Wesley,Fofana,Fofana,9,17,2,43,2.4,630,0,0,1,7,0,0,0,2,0,0,2,112,131.4,30.1,32.0,19.4
340,Jannik,Vestergaard,Vestergaard,9,11,2,47,1.1,563,0,0,1,16,0,0,0,2,0,0,0,115,159.2,15.2,15.0,19.0
455,Patson,Daka,Daka,9,70,4,70,3.0,1152,5,3,3,20,0,0,0,2,0,0,8,216,287.8,166.2,460.0,90.9
458,Boubakary,Soumaré,Soumaré,9,36,3,48,1.9,1095,0,1,2,27,0,0,0,0,0,0,1,153,142.6,98.6,40.0,28.1
473,Ryan,Bertrand,Bertrand,9,4,2,46,1.0,337,0,0,0,7,0,0,0,1,0,0,0,32,48.0,14.8,8.0,7.2
505,Kiernan,Dewsbury-Hall,Dewsbury-Hall,9,70,3,44,2.5,2101,1,2,8,27,0,0,0,4,0,0,4,337,377.6,505.6,221.0,110.6
573,Eldin,Jakupovic,Jakupovic,9,0,1,39,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
587,Ademola,Lookman,Lookman,9,76,3,59,2.9,1446,6,0,2,31,0,0,0,2,0,0,6,225,363.0,303.7,518.0,118.3
639,Vontae,Daley-Campbell,Daley-Campbell,9,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
645,Ben,Nelson,Nelson,9,0,2,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
646,Lewis,Brunt,Brunt,9,1,3,45,1.0,23,0,0,0,1,0,0,0,0,0,0,0,2,2.0,1.5,2.0,0.6
647,Kasey,McAteer,McAteer,9,1,3,45,1.0,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
